Stats downloaded from DuzzaTip Script

player,team,opponent,year,round,kicks,handballs,marks,tackles,hitouts,ruckContests,freesFor,freesAgainst,goals,behinds,cbas,kickins,kickinsPlayon,tog,fantasyPoints,superCoachPoints,namedPosition
Fremantle Player 1,Fremantle,Geelong,2025,1,10,5,1,8,11,33,2,2,1,2,5,2,0,75,94,98,Midfielder
Fremantle Player 2,Fremantle,Geelong,2025,1,13,16,2,6,0,0,1,0,1,1,8,1,0,92,108,94,Defender
Fremantle Player 3,Fremantle,Geelong,2025,1,21,13,8,8,0,0,1,1,2,0,9,2,1,86,157,171,Forward
Fremantle Player 4,Fremantle,Geelong,2025,1,8,7,8,1,0,0,1,1,2,0,4,0,1,82,78,65,Forward
Fremantle Player 5,Fremantle,Geelong,2025,1,15,6,8,2,0,0,0,1,0,0,3,1,1,83,89,84,Midfielder
Geelong Player 1,Geelong,Gold Coast,2025,1,14,9,3,7,9,20,0,0,2,2,6,1,1,89,120,119,Ruck
Geelong Player 2,Geelong,Gold Coast,2025,1,20,12,1,8,0,0,1,2,2,1,3,0,0,75,132,145,Defender
Geelong Player 3,Geelong,Gold Coast,2025,1,8,6,6,6,0,0,0,0,2,0,3,2,1,87,90,82,Midfielder
Geelong Player 4,Geelong,Gold Coast,2025,1,20,5,4,1,0,0,1,0,1,2,2,1,0,80,94,91,Midfielder
Geelong Player 5,Geelong,Gold Coast,2025,1,9,14,10,2,0,0,2,0,0,1,1,2,1,84,94,87,Forward
Gold Coast Player 1,Gold Coast,GWS,2025,1,16,3,8,1,22,19,2,1,2,0,7,0,0,93,116,124,Forward
Gold Coast Player 2,Gold Coast,GWS,2025,1,23,13,8,6,0,0,0,1,1,0,0,0,1,93,149,162,Forward
Gold Coast Player 3,Gold Coast,GWS,2025,1,6,17,6,7,0,0,0,1,0,0,9,1,1,85,98,110,Midfielder
Gold Coast Player 4,Gold Coast,GWS,2025,1,22,3,7,4,0,0,1,2,0,1,4,0,0,93,110,112,Defender
Gold Coast Player 5,Gold Coast,GWS,2025,1,9,9,4,3,0,0,1,1,2,2,5,2,0,79,83,83,Defender
GWS Player 1,GWS,Hawthorn,2025,1,10,4,10,8,0,18,2,0,0,2,8,2,0,81,102,87,Midfielder
GWS Player 2,GWS,Hawthorn,2025,1,5,13,9,1,0,0,1,0,1,0,1,2,1,80,78,65,Defender
GWS Player 3,GWS,Hawthorn,2025,1,20,14,1,6,0,0,2,1,1,1,6,2,1,90,122,134,Midfielder
GWS Player 4,GWS,Hawthorn,2025,1,10,9,6,3,0,0,1,2,1,2,4,0,1,77,86,83,Forward
GWS Player 5,GWS,Hawthorn,2025,1,19,13,6,5,0,0,2,1,0,1,8,0,0,78,122,114,Forward
Hawthorn Player 1,Hawthorn,Melbourne,2025,1,8,17,10,1,14,37,0,0,2,0,9,0,0,84,118,127,Midfielder
Hawthorn Player 2,Hawthorn,Melbourne,2025,1,13,12,3,6,0,0,0,1,0,1,5,1,0,80,97,98,Defender
Hawthorn Player 3,Hawthorn,Melbourne,2025,1,21,12,3,6,0,0,1,1,0,2,1,1,1,79,122,132,Forward
Hawthorn Player 4,Hawthorn,Melbourne,2025,1,8,7,5,6,0,0,0,2,1,0,0,1,1,81,83,69,Defender
Hawthorn Player 5,Hawthorn,Melbourne,2025,1,23,15,1,6,0,0,1,1,2,2,4,1,1,94,140,133,Forward
Melbourne Player 1,Melbourne,North Melbourne,2025,1,20,5,7,6,16,37,1,2,1,1,9,0,0,80,138,144,Forward
Melbourne Player 2,Melbourne,North Melbourne,2025,1,12,17,4,4,0,0,0,0,2,0,7,1,1,87,110,102,Forward
Melbourne Player 3,Melbourne,North Melbourne,2025,1,17,17,2,5,0,0,2,1,0,2,9,2,1,81,113,121,Midfielder
Melbourne Player 4,Melbourne,North Melbourne,2025,1,23,11,1,8,0,0,1,0,0,0,3,1,0,75,126,125,Defender
Melbourne Player 5,Melbourne,North Melbourne,2025,1,21,17,10,4,0,0,0,2,2,1,3,0,1,93,156,158,Defender
North Melbourne Player 1,North Melbourne,Port Adelaide,2025,1,23,3,10,3,2,30,1,1,0,1,3,1,0,87,120,114,Defender
North Melbourne Player 2,North Melbourne,Port Adelaide,2025,1,16,4,8,5,0,0,2,2,2,1,7,2,1,75,113,108,Midfielder
North Melbourne Player 3,North Melbourne,Port Adelaide,2025,1,17,8,7,1,0,0,1,0,1,2,4,1,1,86,100,114,Defender
North Melbourne Player 4,North Melbourne,Port Adelaide,2025,1,22,16,6,7,0,0,0,0,2,1,3,0,0,89,157,144,Midfielder
North Melbourne Player 5,North Melbourne,Port Adelaide,2025,1,14,9,3,4,0,0,0,0,2,2,4,0,1,83,99,101,Ruck
Port Adelaide Player 1,Port Adelaide,Richmond,2025,1,5,15,8,5,29,36,0,0,1,0,3,0,1,91,124,137,Forward
Port Adelaide Player 2,Port Adelaide,Richmond,2025,1,20,14,10,6,0,0,1,0,2,1,2,2,1,93,155,152,Ruck
Port Adelaide Player 3,Port Adelaide,Richmond,2025,1,20,5,5,4,0,0,1,0,0,2,6,0,0,76,103,90,Midfielder
Port Adelaide Player 4,Port Adelaide,Richmond,2025,1,13,4,10,1,0,0,1,0,0,2,6,2,1,82,83,78,Midfielder
Port Adelaide Player 5,Port Adelaide,Richmond,2025,1,14,16,2,6,0,0,0,2,2,1,6,2,0,85,117,106,Forward
Richmond Player 1,Richmond,St Kilda,2025,1,18,10,6,1,29,27,1,1,0,0,6,2,1,84,125,122,Defender
Richmond Player 2,Richmond,St Kilda,2025,1,9,16,3,1,0,0,2,0,0,2,0,2,0,84,74,60,Midfielder
Richmond Player 3,Richmond,St Kilda,2025,1,8,14,1,1,0,0,0,1,0,0,4,2,0,85,59,67,Midfielder
Richmond Player 4,Richmond,St Kilda,2025,1,9,16,7,3,0,0,1,0,0,2,6,2,0,87,94,87,Defender
Richmond Player 5,Richmond,St Kilda,2025,1,22,9,7,1,0,0,1,0,2,2,2,2,1,91,123,125,Forward
St Kilda Player 1,St Kilda,Sydney,2025,1,18,16,4,8,9,19,1,1,0,0,9,0,1,76,139,127,Defender
St Kilda Player 2,St Kilda,Sydney,2025,1,21,7,8,7,0,0,2,0,2,2,7,2,1,77,143,148,Midfielder
St Kilda Player 3,St Kilda,Sydney,2025,1,22,15,10,2,0,0,0,1,1,2,8,2,1,91,142,154,Midfielder
St Kilda Player 4,St Kilda,Sydney,2025,1,11,5,4,4,0,0,0,0,1,1,6,0,1,93,78,90,Ruck
St Kilda Player 5,St Kilda,Sydney,2025,1,9,16,2,4,0,0,0,2,1,1,8,1,1,87,88,86,Defender
Sydney Player 1,Sydney,West Coast,2025,1,20,10,6,1,20,1,2,1,0,1,1,0,1,91,123,124,Midfielder
Sydney Player 2,Sydney,West Coast,2025,1,17,17,8,1,0,0,1,0,0,1,4,2,1,92,114,112,Ruck
Sydney Player 3,Sydney,West Coast,2025,1,7,10,1,6,0,0,0,0,1,1,7,2,1,81,75,81,Defender
Sydney Player 4,Sydney,West Coast,2025,1,11,6,7,5,0,0,0,1,0,0,4,0,0,79,86,75,Ruck
Sydney Player 5,Sydney,West Coast,2025,1,15,17,6,4,0,0,0,2,0,0,7,1,0,88,113,110,Defender
West Coast Player 1,West Coast,Western Bulldogs,2025,1,18,8,10,8,6,13,1,2,0,0,1,1,1,93,138,151,Forward
West Coast Player 2,West Coast,Western Bulldogs,2025,1,23,10,4,5,0,0,2,0,1,1,4,1,1,78,128,140,Ruck
West Coast Player 3,West Coast,Western Bulldogs,2025,1,11,5,9,4,0,0,2,0,2,2,1,2,1,83,100,96,Forward
West Coast Player 4,West Coast,Western Bulldogs,2025,1,20,3,6,2,0,0,1,1,2,2,8,0,0,84,106,120,Forward
West Coast Player 5,West Coast,Western Bulldogs,2025,1,6,5,2,7,0,0,0,2,0,1,4,2,0,84,63,61,Forward
Western Bulldogs Player 1,Western Bulldogs,Adelaide,2025,1,22,17,5,8,2,25,0,0,2,2,4,1,1,78,163,166,Ruck
Western Bulldogs Player 2,Western Bulldogs,Adelaide,2025,1,15,10,10,8,0,0,0,1,2,0,4,1,1,79,139,135,Forward
Western Bulldogs Player 3,Western Bulldogs,Adelaide,2025,1,10,11,4,5,0,0,2,2,1,1,4,1,1,76,91,87,Forward
Western Bulldogs Player 4,Western Bulldogs,Adelaide,2025,1,7,8,7,6,0,0,1,2,0,0,1,1,1,75,82,95,Ruck
Western Bulldogs Player 5,Western Bulldogs,Adelaide,2025,1,15,8,7,4,0,0,1,0,2,0,3,1,1,79,110,124,Midfielder
Adelaide Player 1,Adelaide,Brisbane,2025,2,20,9,8,8,15,8,1,2,0,1,8,0,1,80,150,138,Midfielder
Adelaide Player 2,Adelaide,Brisbane,2025,2,14,10,1,5,0,0,1,2,1,0,9,0,1,93,91,84,Defender
Adelaide Player 3,Adelaide,Brisbane,2025,2,18,6,6,1,0,0,1,0,2,2,3,1,0,94,102,104,Midfielder
Adelaide Player 4,Adelaide,Brisbane,2025,2,12,3,8,7,0,0,0,0,0,2,9,2,0,81,96,96,Forward
Adelaide Player 5,Adelaide,Brisbane,2025,2,24,10,4,8,0,0,2,1,0,1,0,1,1,84,137,132,Defender
Brisbane Player 1,Brisbane,Carlton,2025,2,12,13,4,2,10,25,0,0,1,0,9,1,1,77,98,86,Ruck
Brisbane Player 2,Brisbane,Carlton,2025,2,17,5,2,4,0,0,1,2,1,0,5,2,1,75,89,100,Ruck
Brisbane Player 3,Brisbane,Carlton,2025,2,24,17,6,3,0,0,2,2,0,0,6,1,1,79,136,143,Forward
Brisbane Player 4,Brisbane,Carlton,2025,2,21,8,4,5,0,0,1,0,0,0,0,2,0,94,111,117,Ruck
Brisbane Player 5,Brisbane,Carlton,2025,2,21,10,2,5,0,0,0,0,2,2,7,0,1,87,123,114,Defender
Carlton Player 1,Carlton,Collingwood,2025,2,14,17,6,1,29,2,2,1,2,0,6,1,1,84,139,133,Ruck
Carlton Player 2,Carlton,Collingwood,2025,2,24,11,7,6,0,0,2,2,0,1,1,0,0,77,140,153,Forward
Carlton Player 3,Carlton,Collingwood,2025,2,23,9,1,7,0,0,0,2,0,0,1,1,1,90,118,117,Defender
Carlton Player 4,Carlton,Collingwood,2025,2,17,14,1,4,0,0,2,2,1,0,3,0,0,94,104,111,Defender
Carlton Player 5,Carlton,Collingwood,2025,2,21,13,8,5,0,0,2,0,1,2,6,1,0,80,141,153,Defender
Collingwood Player 1,Collingwood,Essendon,2025,2,9,11,3,7,13,24,2,1,1,2,8,0,1,79,107,102,Defender
Collingwood Player 2,Collingwood,Essendon,2025,2,21,14,4,6,0,0,1,1,1,1,2,0,0,89,134,137,Defender
Collingwood Player 3,Collingwood,Essendon,2025,2,9,5,3,2,0,0,0,0,1,0,3,1,0,83,60,63,Ruck
Collingwood Player 4,Collingwood,Essendon,2025,2,9,8,5,1,0,0,2,2,2,1,7,1,0,94,75,64,Midfielder
Collingwood Player 5,Collingwood,Essendon,2025,2,13,13,7,1,0,0,0,2,2,0,1,0,0,92,102,113,Defender
Essendon Player 1,Essendon,Fremantle,2025,2,6,17,2,7,13,10,2,1,1,0,8,2,0,77,105,99,Ruck
Essendon Player 2,Essendon,Fremantle,2025,2,15,4,1,2,0,0,2,0,0,1,8,2,1,82,65,50,Midfielder
Essendon Player 3,Essendon,Fremantle,2025,2,18,4,8,1,0,0,0,1,1,0,2,0,1,89,96,108,Ruck
Essendon Player 4,Essendon,Fremantle,2025,2,12,17,2,6,0,0,2,1,1,2,4,2,1,90,108,109,Defender
Essendon Player 5,Essendon,Fremantle,2025,2,12,12,2,5,0,0,1,2,2,2,1,2,1,78,100,91,Defender
Fremantle Player 1,Fremantle,Geelong,2025,2,20,9,5,4,22,2,2,0,0,0,1,0,1,77,131,135,Forward
Fremantle Player 2,Fremantle,Geelong,2025,2,15,17,7,1,0,0,1,2,1,2,4,0,1,75,112,124,Ruck
Fremantle Player 3,Fremantle,Geelong,2025,2,12,11,5,7,0,0,1,0,0,0,4,1,0,75,101,115,Ruck
Fremantle Player 4,Fremantle,Geelong,2025,2,21,11,2,5,0,0,1,2,0,0,4,2,0,94,111,123,Midfielder
Fremantle Player 5,Fremantle,Geelong,2025,2,19,7,3,6,0,0,2,1,2,0,1,2,0,87,116,116,Midfielder
Geelong Player 1,Geelong,Gold Coast,2025,2,18,4,8,7,16,22,2,2,1,1,4,0,0,81,137,131,Defender
Geelong Player 2,Geelong,Gold Coast,2025,2,7,16,6,5,0,0,1,0,0,1,2,0,0,91,92,100,Midfielder
Geelong Player 3,Geelong,Gold Coast,2025,2,9,10,2,4,0,0,1,2,0,2,1,1,0,75,71,61,Forward
Geelong Player 4,Geelong,Gold Coast,2025,2,22,11,8,3,0,0,2,1,0,0,3,0,1,81,124,134,Ruck
Geelong Player 5,Geelong,Gold Coast,2025,2,21,15,7,3,0,0,0,0,2,2,4,1,1,83,140,134,Defender
Gold Coast Player 1,Gold Coast,GWS,2025,2,19,3,9,3,4,5,1,2,2,2,9,2,0,84,120,124,Ruck
Gold Coast Player 2,Gold Coast,GWS,2025,2,5,9,7,2,0,0,1,2,1,1,5,0,1,89,69,61,Ruck
Gold Coast Player 3,Gold Coast,GWS,2025,2,21,6,6,3,0,0,1,0,0,2,2,1,0,87,107,112,Midfielder
Gold Coast Player 4,Gold Coast,GWS,2025,2,15,4,10,3,0,0,2,1,1,0,7,1,1,83,101,92,Midfielder
Gold Coast Player 5,Gold Coast,GWS,2025,2,10,8,10,6,0,0,2,0,0,2,0,0,1,84,102,93,Forward
GWS Player 1,GWS,Hawthorn,2025,2,12,4,1,3,24,23,0,1,0,0,5,1,1,87,83,72,Ruck
GWS Player 2,GWS,Hawthorn,2025,2,6,16,10,6,0,0,1,1,0,1,9,2,0,93,105,102,Midfielder
GWS Player 3,GWS,Hawthorn,2025,2,22,12,2,3,0,0,1,1,2,0,0,2,0,77,120,131,Midfielder
GWS Player 4,GWS,Hawthorn,2025,2,6,6,2,2,0,0,2,0,1,2,4,0,1,89,52,49,Forward
GWS Player 5,GWS,Hawthorn,2025,2,13,11,9,6,0,0,0,1,2,1,7,2,0,93,125,132,Ruck
Hawthorn Player 1,Hawthorn,Melbourne,2025,2,8,9,1,3,29,15,0,1,0,0,1,2,1,94,86,99,Ruck
Hawthorn Player 2,Hawthorn,Melbourne,2025,2,21,4,2,7,0,0,1,0,0,2,8,0,1,79,107,110,Forward
Hawthorn Player 3,Hawthorn,Melbourne,2025,2,18,17,7,3,0,0,2,2,1,2,2,1,1,93,129,140,Defender
Hawthorn Player 4,Hawthorn,Melbourne,2025,2,22,14,4,5,0,0,1,0,1,1,0,0,0,92,133,121,Ruck
Hawthorn Player 5,Hawthorn,Melbourne,2025,2,12,12,9,5,0,0,0,0,2,0,6,1,1,93,119,118,Ruck
Melbourne Player 1,Melbourne,North Melbourne,2025,2,16,8,3,4,16,11,2,1,0,2,6,2,0,76,107,113,Midfielder
Melbourne Player 2,Melbourne,North Melbourne,2025,2,22,9,8,3,0,0,2,0,0,2,4,2,1,88,122,128,Forward
Melbourne Player 3,Melbourne,North Melbourne,2025,2,16,9,1,1,0,0,2,1,0,0,7,0,0,81,73,67,Forward
Melbourne Player 4,Melbourne,North Melbourne,2025,2,6,7,2,6,0,0,2,2,0,0,4,1,0,79,62,76,Defender
Melbourne Player 5,Melbourne,North Melbourne,2025,2,9,15,2,6,0,0,1,0,2,1,0,2,0,75,100,105,Forward
North Melbourne Player 1,North Melbourne,Port Adelaide,2025,2,24,8,6,4,26,35,2,1,2,1,3,1,0,79,161,165,Ruck
North Melbourne Player 2,North Melbourne,Port Adelaide,2025,2,15,8,2,2,0,0,2,2,1,2,9,1,0,93,83,91,Ruck
North Melbourne Player 3,North Melbourne,Port Adelaide,2025,2,24,7,8,4,0,0,1,1,1,1,2,1,1,87,133,141,Defender
North Melbourne Player 4,North Melbourne,Port Adelaide,2025,2,21,11,2,8,0,0,2,2,1,2,2,0,1,92,131,132,Ruck
North Melbourne Player 5,North Melbourne,Port Adelaide,2025,2,15,16,8,2,0,0,2,1,1,1,2,0,0,91,116,107,Ruck
Port Adelaide Player 1,Port Adelaide,Richmond,2025,2,6,6,6,2,12,11,1,2,1,0,3,0,1,89,74,86,Forward
Port Adelaide Player 2,Port Adelaide,Richmond,2025,2,17,15,4,3,0,0,2,0,0,1,0,2,1,86,106,107,Defender
Port Adelaide Player 3,Port Adelaide,Richmond,2025,2,20,8,1,4,0,0,1,0,2,1,0,2,0,79,108,119,Defender
Port Adelaide Player 4,Port Adelaide,Richmond,2025,2,9,13,9,4,0,0,0,2,2,2,1,1,1,92,110,105,Midfielder
Port Adelaide Player 5,Port Adelaide,Richmond,2025,2,22,17,4,8,0,0,1,2,0,0,8,1,0,88,144,136,Ruck
Richmond Player 1,Richmond,St Kilda,2025,2,15,16,4,5,19,31,0,0,0,1,0,2,1,92,129,130,Ruck
Richmond Player 2,Richmond,St Kilda,2025,2,12,3,7,6,0,0,0,1,1,0,7,0,0,92,93,93,Ruck
Richmond Player 3,Richmond,St Kilda,2025,2,9,17,2,1,0,0,1,0,1,1,7,2,1,84,78,66,Defender
Richmond Player 4,Richmond,St Kilda,2025,2,10,6,5,3,0,0,0,1,0,1,4,1,0,80,70,71,Ruck
Richmond Player 5,Richmond,St Kilda,2025,2,22,4,7,6,0,0,0,1,2,2,2,0,1,90,133,122,Defender
St Kilda Player 1,St Kilda,Sydney,2025,2,6,17,2,8,5,1,1,2,0,0,9,1,1,77,95,90,Defender
St Kilda Player 2,St Kilda,Sydney,2025,2,13,4,10,6,0,0,1,1,1,0,0,0,1,80,107,115,Ruck
St Kilda Player 3,St Kilda,Sydney,2025,2,6,9,7,4,0,0,0,0,1,0,2,1,1,90,79,69,Defender
St Kilda Player 4,St Kilda,Sydney,2025,2,7,7,3,5,0,0,1,2,2,2,1,0,1,77,78,89,Midfielder
St Kilda Player 5,St Kilda,Sydney,2025,2,21,14,7,3,0,0,1,2,2,2,0,1,1,78,138,123,Ruck
Sydney Player 1,Sydney,West Coast,2025,2,24,12,2,8,11,4,1,0,0,2,1,0,1,91,147,149,Ruck
Sydney Player 2,Sydney,West Coast,2025,2,24,11,3,8,0,0,0,1,2,2,7,1,0,89,149,148,Ruck
Sydney Player 3,Sydney,West Coast,2025,2,14,14,6,8,0,0,2,2,2,2,5,0,0,79,134,119,Midfielder
Sydney Player 4,Sydney,West Coast,2025,2,12,17,7,3,0,0,1,2,0,0,0,0,0,93,103,98,Forward
Sydney Player 5,Sydney,West Coast,2025,2,24,9,9,8,0,0,1,0,2,2,5,0,0,84,163,171,Forward
West Coast Player 1,West Coast,Western Bulldogs,2025,2,8,11,8,4,0,13,2,0,2,0,7,1,0,86,98,111,Ruck
West Coast Player 2,West Coast,Western Bulldogs,2025,2,19,5,9,1,0,0,0,1,1,0,3,1,0,76,104,106,Defender
West Coast Player 3,West Coast,Western Bulldogs,2025,2,18,5,9,2,0,0,0,2,1,2,2,0,1,83,107,99,Midfielder
West Coast Player 4,West Coast,Western Bulldogs,2025,2,15,13,7,4,0,0,1,0,0,2,9,1,0,84,110,102,Forward
West Coast Player 5,West Coast,Western Bulldogs,2025,2,8,12,3,2,0,0,2,1,1,1,9,2,0,79,72,58,Midfielder
Western Bulldogs Player 1,Western Bulldogs,Adelaide,2025,2,5,16,10,5,5,17,2,1,2,0,2,0,1,80,114,128,Midfielder
Western Bulldogs Player 2,Western Bulldogs,Adelaide,2025,2,14,9,6,4,0,0,1,1,1,1,2,2,0,87,101,96,Defender
Western Bulldogs Player 3,Western Bulldogs,Adelaide,2025,2,19,5,2,2,0,0,1,0,0,2,3,1,1,76,83,86,Midfielder
Western Bulldogs Player 4,Western Bulldogs,Adelaide,2025,2,15,10,6,8,0,0,2,1,0,0,8,1,0,94,115,102,Forward
Western Bulldogs Player 5,Western Bulldogs,Adelaide,2025,2,7,8,2,6,0,0,1,0,2,1,1,1,1,79,80,81,Ruck
Adelaide Player 1,Adelaide,Brisbane,2025,3,15,7,1,2,13,38,1,1,0,2,2,0,1,80,85,91,Midfielder
Adelaide Player 2,Adelaide,Brisbane,2025,3,12,15,3,6,0,0,2,0,2,2,5,0,0,76,113,106,Midfielder
Adelaide Player 3,Adelaide,Brisbane,2025,3,13,6,6,1,0,0,0,1,0,0,4,2,1,86,73,76,Midfielder
Adelaide Player 4,Adelaide,Brisbane,2025,3,16,14,2,4,0,0,1,1,2,2,1,2,0,94,112,105,Midfielder
Adelaide Player 5,Adelaide,Brisbane,2025,3,17,11,4,5,0,0,1,0,0,2,7,2,1,86,107,111,Defender
Brisbane Player 1,Brisbane,Carlton,2025,3,23,7,10,6,17,17,0,0,2,1,4,1,1,78,167,181,Midfielder
Brisbane Player 2,Brisbane,Carlton,2025,3,5,14,8,4,0,0,1,2,0,1,2,0,0,90,84,81,Ruck
Brisbane Player 3,Brisbane,Carlton,2025,3,15,6,9,3,0,0,0,0,0,1,8,2,0,88,97,99,Forward
Brisbane Player 4,Brisbane,Carlton,2025,3,9,13,4,7,0,0,0,1,2,1,0,1,0,91,106,106,Defender
Brisbane Player 5,Brisbane,Carlton,2025,3,8,9,2,3,0,0,0,0,2,2,7,0,0,87,74,86,Defender
Carlton Player 1,Carlton,Collingwood,2025,3,22,10,6,1,17,33,0,0,2,0,8,2,1,84,137,132,Midfielder
Carlton Player 2,Carlton,Collingwood,2025,3,13,15,1,8,0,0,2,0,1,0,0,1,1,85,110,99,Ruck
Carlton Player 3,Carlton,Collingwood,2025,3,23,9,2,2,0,0,1,1,1,0,0,2,1,92,107,121,Midfielder
Carlton Player 4,Carlton,Collingwood,2025,3,21,6,6,3,0,0,2,0,1,2,2,2,1,75,113,99,Forward
Carlton Player 5,Carlton,Collingwood,2025,3,21,3,1,4,0,0,1,1,0,1,9,2,1,84,89,88,Ruck
Collingwood Player 1,Collingwood,Essendon,2025,3,13,5,7,4,5,12,1,0,1,0,9,1,1,75,97,86,Ruck
Collingwood Player 2,Collingwood,Essendon,2025,3,23,15,4,1,0,0,0,2,2,0,0,0,0,93,127,129,Ruck
Collingwood Player 3,Collingwood,Essendon,2025,3,8,3,1,2,0,0,2,2,2,1,3,2,0,92,54,64,Midfielder
Collingwood Player 4,Collingwood,Essendon,2025,3,19,10,2,5,0,0,1,2,1,0,3,1,0,89,109,102,Defender
Collingwood Player 5,Collingwood,Essendon,2025,3,20,5,9,1,0,0,0,0,2,1,8,2,0,93,114,122,Midfielder
Essendon Player 1,Essendon,Fremantle,2025,3,17,17,9,7,13,17,1,2,1,0,5,1,0,86,159,171,Ruck
Essendon Player 2,Essendon,Fremantle,2025,3,22,5,1,3,0,0,1,1,0,2,2,2,1,88,93,106,Defender
Essendon Player 3,Essendon,Fremantle,2025,3,19,4,6,4,0,0,1,2,0,2,0,2,1,90,101,102,Ruck
Essendon Player 4,Essendon,Fremantle,2025,3,24,7,8,4,0,0,2,0,2,0,9,1,0,83,138,130,Midfielder
Essendon Player 5,Essendon,Fremantle,2025,3,10,14,2,4,0,0,2,1,2,2,4,0,1,82,94,79,Midfielder
Fremantle Player 1,Fremantle,Geelong,2025,3,21,10,3,4,27,34,0,1,0,1,8,0,0,76,136,130,Defender
Fremantle Player 2,Fremantle,Geelong,2025,3,24,17,6,7,0,0,0,1,0,2,9,1,1,85,154,141,Ruck
Fremantle Player 3,Fremantle,Geelong,2025,3,18,11,7,8,0,0,2,1,0,1,9,1,1,88,130,123,Forward
Fremantle Player 4,Fremantle,Geelong,2025,3,11,13,3,5,0,0,1,1,2,1,2,1,0,78,101,115,Defender
Fremantle Player 5,Fremantle,Geelong,2025,3,21,3,2,2,0,0,0,2,0,1,6,1,1,86,84,97,Forward
Geelong Player 1,Geelong,Gold Coast,2025,3,20,14,8,3,12,20,2,1,2,1,3,1,0,87,149,155,Midfielder
Geelong Player 2,Geelong,Gold Coast,2025,3,8,14,1,8,0,0,2,2,0,2,2,1,1,88,89,75,Defender
Geelong Player 3,Geelong,Gold Coast,2025,3,6,13,6,4,0,0,2,1,2,0,0,1,1,82,90,79,Forward
Geelong Player 4,Geelong,Gold Coast,2025,3,16,17,3,2,0,0,1,0,0,1,5,1,1,82,100,90,Midfielder
Geelong Player 5,Geelong,Gold Coast,2025,3,5,17,7,1,0,0,0,2,0,2,6,2,0,84,76,84,Forward
Gold Coast Player 1,Gold Coast,GWS,2025,3,24,9,9,8,13,1,0,0,2,2,0,2,1,77,176,175,Defender
