Team_ID,Team_Name,Player_ID,Player_Name,Draft_Pick
5,Clarries Cookers,810,Sam Flanders,10
5,Clarries Cookers,793,Harry Sheezel,11
5,Clarries Cookers,724,Kyle Langford,12
5,Clarries Cookers,1112,Tom De Koning,13
5,Clarries Cookers,1040,Matthew Flynn,14
5,Clarries Cookers,1053,Isaac Heeney,15
5,Clarries Cookers,828,Jacob Koschitzke,16
5,Clarries Cookers,801,Mabior Chol,17
5,Clarries Cookers,947,Jordon Sweet,18
6,Balls Deep,728,Darcy Parish,1
6,Balls Deep,1040,Tom J. Lynch,2
6,Balls Deep,946,Ed Richards,3
6,Balls Deep,679,Adam Treloar,4
6,Balls Deep,1061,Will Hayward,5
6,Balls Deep,1040,Matt Rowell,6
6,Balls Deep,707,Dayne Zorko,7
6,Balls Deep,1250,Brodie Grundy,8
6,Balls Deep,868,Charlie Cameron,9
6,Balls Deep,1103,Harry McKay,10
6,Balls Deep,807,Noah Anderson,11
6,Balls Deep,897,Jack Sinclair,12
6,Balls Deep,881,Zac Bailey,13
6,Balls Deep,1040,Mitch Georgiades,14
6,Balls Deep,854,Luke Jackson,15
6,Balls Deep,993,Sam Berry,16
6,Balls Deep,1138,Jake Riccardi,17
6,Balls Deep,1040,Ollie Wines,18
7,Briz Strings Souvlakis,1098,George Hewett,1
7,Briz Strings Souvlakis,932,Toby Conway,2
7,Briz Strings Souvlakis,1040,Tom Fullarton,3
7,Briz Strings Souvlakis,1040,Nic Martin,4
7,Briz Strings Souvlakis,1567,Jye Caldwell,5
7,Briz Strings Souvlakis,538,Max Gawn,6
7,Briz Strings Souvlakis,949,Rhylee West,7
7,Briz Strings Souvlakis,902,Jack Higgins,8
7,Briz Strings Souvlakis,775,Nick Larkey,9
7,Briz Strings Souvlakis,116,Taylor Walker,10
7,Briz Strings Souvlakis,849,Andrew Brayshaw,11
7,Briz Strings Souvlakis,1071,Errol Gulden,12
7,Briz Strings Souvlakis,982,Jordan Dawson,13
7,Briz Strings Souvlakis,955,Jamarra Ugle-Hagan,14
7,Briz Strings Souvlakis,1033,Ivan Soldo,15
7,Briz Strings Souvlakis,761,Brody Mihocek,16
7,Briz Strings Souvlakis,1074,Jack Viney,17
7,Briz Strings Souvlakis,1017,Connor Rozee,18
8,Cutsys Cucks,423,Rhys Stanley,1
8,Cutsys Cucks,1462,Cameron Zurhaar,2
8,Cutsys Cucks,1133,Callum M. Brown,3
8,Cutsys Cucks,1702,Sam Darcy,4
8,Cutsys Cucks,717,Elliot Yeo,5
8,Cutsys Cucks,1084,Bayley Fritsch,6
8,Cutsys Cucks,1040,Conor Nash,7
8,Cutsys Cucks,1665,Nick Daicos,8
8,Cutsys Cucks,877,Oscar McInerney,9
8,Cutsys Cucks,1505,Mitch Lewis,10
8,Cutsys Cucks,921,Tyson Stengle,11
8,Cutsys Cucks,863,Jye Amiss,12
8,Cutsys Cucks,872,Eric Hipwood,13
8,Cutsys Cucks,1096,Patrick Cripps,14
8,Cutsys Cucks,969,Bailey J. Williams,15
8,Cutsys Cucks,926,Oliver Henry,16
8,Cutsys Cucks,1121,Lachie Whitfield,17
8,Cutsys Cucks,1012,Willie Rioli,18
